experiment1, BF, Higgs, MultiTree, 1, 94663681.193000
experiment1, BF, Higgs, MultiTree, 1, 84600990.018000
experiment1, BF, Higgs, MultiTree, 1, 84455606.090000
experiment1, BF, Higgs, MultiTree, 2, 74463611.510000
experiment1, BF, Higgs, MultiTree, 2, 78318343.619000
experiment1, BF, Higgs, MultiTree, 2, 51569696.514000
experiment1, BF, Higgs, MultiTree, 4, 39590835.578000
experiment1, BF, Higgs, MultiTree, 4, 42201396.819000
experiment1, BF, Higgs, MultiTree, 4, 40270165.868000
experiment1, BF, Higgs, MultiTree, 8, 28243540.351000
experiment1, BF, Higgs, MultiTree, 8, 22900062.404000
experiment1, BF, Higgs, MultiTree, 8, 23437181.158000
experiment1, BF, Higgs, MultiTree, 16, 19565896.686000
experiment1, BF, Higgs, MultiTree, 16, 21242628.433000
experiment1, BF, Higgs, MultiTree, 16, 19504417.730000
experiment1, BF, Higgs, MultiTree, 32, 18089951.747000
experiment1, BF, Higgs, MultiTree, 32, 16976234.844000
experiment1, BF, Higgs, MultiTree, 32, 20383075.370000
experiment1, DF, Higgs, MultiTree, 1, 71951045.049000
experiment1, DF, Higgs, MultiTree, 1, 67157204.252000
experiment1, DF, Higgs, MultiTree, 1, 67177315.870000
experiment1, DF, Higgs, MultiTree, 2, 60189325.320000
experiment1, DF, Higgs, MultiTree, 2, 47589529.970000
experiment1, DF, Higgs, MultiTree, 2, 38132873.762000
experiment1, DF, Higgs, MultiTree, 4, 33829773.840000
experiment1, DF, Higgs, MultiTree, 4, 34857514.084000
experiment1, DF, Higgs, MultiTree, 4, 36250799.798000
experiment1, DF, Higgs, MultiTree, 8, 24469573.131000
experiment1, DF, Higgs, MultiTree, 8, 24009098.003000
experiment1, DF, Higgs, MultiTree, 8, 23223520.902000
experiment1, DF, Higgs, MultiTree, 16, 18798398.451000
experiment1, DF, Higgs, MultiTree, 16, 20209532.706000
experiment1, DF, Higgs, MultiTree, 16, 18109635.799000
experiment1, DF, Higgs, MultiTree, 32, 17043809.755000
experiment1, DF, Higgs, MultiTree, 32, 16768970.342000
experiment1, DF, Higgs, MultiTree, 32, 16971733.833000
experiment1, DF-, Higgs, MultiTree, 1, 61953057.513000
experiment1, DF-, Higgs, MultiTree, 1, 54406870.727000
experiment1, DF-, Higgs, MultiTree, 1, 54318433.602000
experiment1, DF-, Higgs, MultiTree, 2, 38386603.893000
experiment1, DF-, Higgs, MultiTree, 2, 41185643.899000
experiment1, DF-, Higgs, MultiTree, 2, 38849138.487000
experiment1, DF-, Higgs, MultiTree, 4, 27027817.836000
experiment1, DF-, Higgs, MultiTree, 4, 26986557.743000
experiment1, DF-, Higgs, MultiTree, 4, 27738439.122000
experiment1, DF-, Higgs, MultiTree, 8, 20813612.838000
experiment1, DF-, Higgs, MultiTree, 8, 19828573.757000
experiment1, DF-, Higgs, MultiTree, 8, 21249254.246000
experiment1, DF-, Higgs, MultiTree, 16, 18188325.931000
experiment1, DF-, Higgs, MultiTree, 16, 17913894.678000
experiment1, DF-, Higgs, MultiTree, 16, 17769683.206000
experiment1, DF-, Higgs, MultiTree, 32, 16231845.070000
experiment1, DF-, Higgs, MultiTree, 32, 15756445.388000
experiment1, DF-, Higgs, MultiTree, 32, 15798005.816000
experiment1, Stat, Higgs, MultiTree, 1, 42867574.920000
experiment1, Stat, Higgs, MultiTree, 1, 41214940.867000
experiment1, Stat, Higgs, MultiTree, 1, 40900522.089000
experiment1, Stat, Higgs, MultiTree, 2, 29952431.268000
experiment1, Stat, Higgs, MultiTree, 2, 27095909.769000
experiment1, Stat, Higgs, MultiTree, 2, 27676065.964000
experiment1, Stat, Higgs, MultiTree, 4, 23877320.014000
experiment1, Stat, Higgs, MultiTree, 4, 21612391.273000
experiment1, Stat, Higgs, MultiTree, 4, 20954690.094000
experiment1, Stat, Higgs, MultiTree, 8, 19234272.518000
experiment1, Stat, Higgs, MultiTree, 8, 17789936.348000
experiment1, Stat, Higgs, MultiTree, 8, 18045619.571000
experiment1, Stat, Higgs, MultiTree, 16, 16777886.420000
experiment1, Stat, Higgs, MultiTree, 16, 14502094.242000
experiment1, Stat, Higgs, MultiTree, 16, 15275884.966000
experiment1, Stat, Higgs, MultiTree, 32, 14739529.876000
experiment1, Stat, Higgs, MultiTree, 32, 14313889.675000
experiment1, Stat, Higgs, MultiTree, 32, 14000414.836000
experiment1, BF, MNIST, MultiTree, 1, 14801847.898000
experiment1, BF, MNIST, MultiTree, 1, 14004050.054000
experiment1, BF, MNIST, MultiTree, 1, 13848222.253000
experiment1, BF, MNIST, MultiTree, 2, 8546576.661000
experiment1, BF, MNIST, MultiTree, 2, 9472220.209000
experiment1, BF, MNIST, MultiTree, 2, 9124774.793000
experiment1, BF, MNIST, MultiTree, 4, 6673719.450000
experiment1, BF, MNIST, MultiTree, 4, 6141854.903000
experiment1, BF, MNIST, MultiTree, 4, 6265843.645000
experiment1, BF, MNIST, MultiTree, 8, 4094549.717000
experiment1, BF, MNIST, MultiTree, 8, 4749570.656000
experiment1, BF, MNIST, MultiTree, 8, 4615521.186000
experiment1, BF, MNIST, MultiTree, 16, 3238161.081000
experiment1, BF, MNIST, MultiTree, 16, 3967528.952000
experiment1, BF, MNIST, MultiTree, 16, 3449395.533000
experiment1, BF, MNIST, MultiTree, 32, 3702367.709000
experiment1, BF, MNIST, MultiTree, 32, 3258259.981000
experiment1, BF, MNIST, MultiTree, 32, 3474695.164000
experiment1, DF, MNIST, MultiTree, 1, 11526429.378000
experiment1, DF, MNIST, MultiTree, 1, 10125140.926000
experiment1, DF, MNIST, MultiTree, 1, 9832438.861000
experiment1, DF, MNIST, MultiTree, 2, 6842778.681000
experiment1, DF, MNIST, MultiTree, 2, 6801143.036000
experiment1, DF, MNIST, MultiTree, 2, 6988323.274000
