experiment1, Bin, Higgs, MultiTree, 1, 42734293.783000
experiment1, Bin, Higgs, MultiTree, 1, 37429222.679000
experiment1, Bin, Higgs, MultiTree, 1, 37429065.307000
experiment1, Bin, Higgs, MultiTree, 2, 24256302.317000
experiment1, Bin, Higgs, MultiTree, 2, 21232863.496000
experiment1, Bin, Higgs, MultiTree, 2, 21215133.171000
experiment1, Bin, Higgs, MultiTree, 4, 18507341.954000
experiment1, Bin, Higgs, MultiTree, 4, 17397137.402000
experiment1, Bin, Higgs, MultiTree, 4, 17021682.444000
experiment1, Bin, Higgs, MultiTree, 8, 15749170.561000
experiment1, Bin, Higgs, MultiTree, 8, 15008436.062000
experiment1, Bin, Higgs, MultiTree, 8, 15198144.098000
experiment1, Bin, Higgs, MultiTree, 16, 17232465.363000
experiment1, Bin, Higgs, MultiTree, 16, 16027530.840000
experiment1, Bin, Higgs, MultiTree, 16, 14508291.655000
experiment1, Bin, Higgs, MultiTree, 32, 25088816.620000
experiment1, Bin, Higgs, MultiTree, 32, 25093541.262000
experiment1, Bin, Higgs, MultiTree, 32, 26730858.785000
experiment1, Bin+, Higgs, MultiTree, 1, 14258415.584000
experiment1, Bin+, Higgs, MultiTree, 1, 12747807.430000
experiment1, Bin+, Higgs, MultiTree, 1, 12696860.893000
experiment1, Bin+, Higgs, MultiTree, 2, 7945409.797000
experiment1, Bin+, Higgs, MultiTree, 2, 8592887.243000
experiment1, Bin+, Higgs, MultiTree, 2, 7966019.005000
experiment1, Bin+, Higgs, MultiTree, 4, 4556282.480000
experiment1, Bin+, Higgs, MultiTree, 4, 4466923.927000
experiment1, Bin+, Higgs, MultiTree, 4, 4102851.851000
experiment1, Bin+, Higgs, MultiTree, 8, 2434669.332000
experiment1, Bin+, Higgs, MultiTree, 8, 2226635.979000
experiment1, Bin+, Higgs, MultiTree, 8, 2191678.738000
experiment1, Bin+, Higgs, MultiTree, 16, 1545463.159000
experiment1, Bin+, Higgs, MultiTree, 16, 1622008.360000
experiment1, Bin+, Higgs, MultiTree, 16, 1668477.725000
experiment1, Bin+, Higgs, MultiTree, 32, 1467262.787000
experiment1, Bin+, Higgs, MultiTree, 32, 1760459.963000
experiment1, Bin+, Higgs, MultiTree, 32, 1552979.654000
experiment1, Bin, MNIST, MultiTree, 1, 9190392.128000
experiment1, Bin, MNIST, MultiTree, 1, 7657807.671000
experiment1, Bin, MNIST, MultiTree, 1, 7628611.897000
experiment1, Bin, MNIST, MultiTree, 2, 5520488.100000
experiment1, Bin, MNIST, MultiTree, 2, 5709094.256000
experiment1, Bin, MNIST, MultiTree, 2, 5772123.254000
experiment1, Bin, MNIST, MultiTree, 4, 5194644.257000
experiment1, Bin, MNIST, MultiTree, 4, 4721431.225000
experiment1, Bin, MNIST, MultiTree, 4, 4850066.785000
experiment1, Bin, MNIST, MultiTree, 8, 4759414.919000
experiment1, Bin, MNIST, MultiTree, 8, 5066573.000000
experiment1, Bin, MNIST, MultiTree, 8, 4510091.490000
experiment1, Bin, MNIST, MultiTree, 16, 6622655.026000
experiment1, Bin, MNIST, MultiTree, 16, 6171255.316000
experiment1, Bin, MNIST, MultiTree, 16, 6439049.758000
experiment1, Bin, MNIST, MultiTree, 32, 11819185.447000
experiment1, Bin, MNIST, MultiTree, 32, 12003673.649000
experiment1, Bin, MNIST, MultiTree, 32, 11702054.339000
experiment1, Bin+, MNIST, MultiTree, 1, 3086463.261000
experiment1, Bin+, MNIST, MultiTree, 1, 3008929.188000
experiment1, Bin+, MNIST, MultiTree, 1, 2665726.940000
