experiment2, Bin+, Higgs, MultiTree, 2048, 5, 20779324.174000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21248211.328000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21271013.668000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21239010.373000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21333222.233000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21349389.447000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21286929.029000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21377829.552000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21401684.763000, 1
experiment2, Bin+, Higgs, MultiTree, 2048, 5, 21290129.953000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 22611526.306000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20488919.101000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20543105.766000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20540715.119000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20514621.120000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20562315.776000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20585715.003000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20592475.072000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20531213.713000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 20530217.855000, 1
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 13014982.392000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 13529113.126000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 10865745.432000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 11287011.562000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 11769031.293000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 13258345.993000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 10679194.236000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 10207415.607000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 10215618.191000, 2
experiment2, Bin+, Higgs, MultiTree, 1024, 5, 10211322.791000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 22019838.387000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20530612.529000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20374304.168000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20263125.675000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20256209.729000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20258269.403000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20263897.149000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20267790.675000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20510161.575000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 20254446.716000, 1
experiment2, Bin+, Higgs, MultiTree, 512, 5, 13119547.961000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12658771.019000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12721149.420000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12981130.130000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 13239774.368000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12930979.511000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12975935.423000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12991514.788000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 11592250.957000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 12379368.014000, 2
experiment2, Bin+, Higgs, MultiTree, 512, 5, 8044112.486000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 8005853.364000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 8162870.649000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 7558005.247000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 7699457.660000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 7475831.976000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 7325824.473000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 6570512.972000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 6637755.454000, 4
experiment2, Bin+, Higgs, MultiTree, 512, 5, 6794769.446000, 4
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20959535.281000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20496964.257000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20472703.545000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20474866.514000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20478885.263000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20474383.963000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20572403.528000, 1
experiment2, Bin+, Higgs, MultiTree, 256, 5, 20457126.928000, 1
