experiment1, Bin+, Higgs, MultiTree, 1, 48750594.459000
experiment1, Bin+, Higgs, MultiTree, 1, 45147016.037000
experiment1, Bin+, Higgs, MultiTree, 2, 24966743.325000
experiment1, Bin+, Higgs, MultiTree, 2, 18811914.678000
experiment1, Bin+, Higgs, MultiTree, 4, 12483218.453000
experiment1, Bin+, Higgs, MultiTree, 4, 12137776.392000
experiment1, Bin+, MNIST, MultiTree, 1, 10591677.271000
experiment1, Bin+, MNIST, MultiTree, 1, 9560208.353000
experiment1, Bin+, MNIST, MultiTree, 2, 4278578.258000
experiment1, Bin+, MNIST, MultiTree, 2, 4087239.191000
experiment1, Bin+, MNIST, MultiTree, 4, 2415671.810000
experiment1, Bin+, MNIST, MultiTree, 4, 2326575.422000
experiment1, Bin+, Allstate, MultiTree, 1, 136100704.230000
experiment1, Bin+, Allstate, MultiTree, 1, 126826164.811000
experiment1, Bin+, Allstate, MultiTree, 2, 61407542.755000
experiment1, Bin+, Allstate, MultiTree, 2, 49079727.368000
experiment1, Bin+, Allstate, MultiTree, 4, 27538786.030000
experiment1, Bin+, Allstate, MultiTree, 4, 25809893.795000
