experiment1, Bin+, Higgs, MultiTree, 1, 46374863.228000
experiment1, Bin+, Higgs, MultiTree, 1, 43676924.595000
experiment1, Bin+, Higgs, MultiTree, 2, 25411291.191000
experiment1, Bin+, Higgs, MultiTree, 2, 18181835.744000
experiment1, Bin+, Higgs, MultiTree, 4, 12563754.815000
experiment1, Bin+, Higgs, MultiTree, 4, 11574026.801000
experiment1, Bin+, MNIST, MultiTree, 1, 10688467.617000
experiment1, Bin+, MNIST, MultiTree, 1, 9086080.484000
experiment1, Bin+, MNIST, MultiTree, 2, 4233883.923000
experiment1, Bin+, MNIST, MultiTree, 2, 4208949.854000
experiment1, Bin+, MNIST, MultiTree, 4, 2350923.524000
experiment1, Bin+, MNIST, MultiTree, 4, 2324351.677000
experiment1, Bin+, Allstate, MultiTree, 1, 136189337.851000
experiment1, Bin+, Allstate, MultiTree, 1, 126960524.059000
experiment1, Bin+, Allstate, MultiTree, 2, 64574921.940000
experiment1, Bin+, Allstate, MultiTree, 2, 60516371.456000
experiment1, Bin+, Allstate, MultiTree, 4, 30197978.427000
experiment1, Bin+, Allstate, MultiTree, 4, 30177550.981000
