experiment3, Bin+, Higgs, MultiTree, 512, 0, 21174956.296000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 21213110.809000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 21145817.828000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 24113152.514000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 21842408.172000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 21837724.950000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 21708900.855000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 21688048.541000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 21678508.969000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 22537931.069000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 21717741.193000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 21745087.953000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 21693550.859000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 21430153.387000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 21432895.182000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 16636376.764000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 15937032.843000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 15852967.797000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 20776173.159000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 20397572.231000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 19862851.768000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 22389472.057000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 21269034.120000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 21187360.074000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 27617449.839000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 28019250.190000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 27927340.233000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 40803610.992000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 40213032.115000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 40089840.650000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 21163514.826000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 20566749.854000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 20545395.539000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 21609791.238000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 20682646.407000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 20680264.174000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 22332263.706000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 21724972.942000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 21699029.089000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 21173714.925000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 20392803.817000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 20380203.356000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 18289665.635000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 16037846.325000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 16002821.316000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 20452924.765000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 17728090.689000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 17492642.233000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 20314343.371000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 19824488.694000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 19396892.796000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 21738394.170000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 21576987.492000, 1
