experiment3, Bin+, Higgs, MultiTree, 2048, 0, 21451697.989000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 0, 21437272.014000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 0, 21433369.869000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 0, 21217757.451000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 0, 21168706.840000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 0, 21168778.486000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 22698986.623000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 21356754.960000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 0, 21351166.553000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 22993628.021000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 22356886.426000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 0, 22346356.210000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 24735379.824000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 23331619.869000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 0, 23376734.344000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 22073882.704000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 21205348.050000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 0, 21179577.004000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 21738117.955000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 21269113.686000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 0, 21250637.260000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 20181130.329000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 20191019.285000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 0, 20244943.163000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 21017554.496000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 19017163.731000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 0, 18944495.269000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 21878318.244000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 21029654.429000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 0, 20985137.140000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 28325245.971000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 28287671.091000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 0, 28300513.477000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 39988596.700000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 40061221.244000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 0, 40035984.689000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 5, 20744190.355000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 5, 20736377.639000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 5, 20776196.143000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 5, 22401122.252000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 5, 21313646.235000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 5, 21348878.149000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 20989707.402000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 20478868.604000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 5, 20490030.396000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 22092153.658000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 21138065.883000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 5, 21096354.768000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 21184579.817000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 20654792.538000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 5, 20650081.293000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 22154320.285000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 20777586.986000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 5, 20744185.739000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 17760907.366000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 16252424.469000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 5, 16370747.722000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 17923657.185000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 17312498.463000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 5, 17455041.923000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 19214278.277000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 18074236.929000, 1
experiment3, Bin+, Higgs, MultiTree, 8, 5, 18050328.440000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 20884610.032000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 21017961.037000, 1
experiment3, Bin+, Higgs, MultiTree, 4, 5, 20965631.065000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 5, 27178551.720000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 5, 27128324.694000, 1
experiment3, Bin+, Higgs, MultiTree, 2, 5, 27140344.820000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 5, 40357920.764000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 5, 38783717.318000, 1
experiment3, Bin+, Higgs, MultiTree, 1, 5, 38792537.106000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 10, 21691640.754000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 10, 21677932.485000, 1
experiment3, Bin+, Higgs, MultiTree, 2048, 10, 21669839.286000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 10, 21982751.012000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 10, 21232486.492000, 1
experiment3, Bin+, Higgs, MultiTree, 1024, 10, 21230767.246000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 10, 22475434.008000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 10, 20895127.676000, 1
experiment3, Bin+, Higgs, MultiTree, 512, 10, 20945246.437000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 10, 23128948.750000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 10, 21608651.529000, 1
experiment3, Bin+, Higgs, MultiTree, 256, 10, 21611907.627000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 22084628.949000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21290866.233000, 1
experiment3, Bin+, Higgs, MultiTree, 128, 10, 21269045.021000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 23333729.101000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 21340931.327000, 1
experiment3, Bin+, Higgs, MultiTree, 64, 10, 21282317.287000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 16672932.677000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 15642851.020000, 1
experiment3, Bin+, Higgs, MultiTree, 32, 10, 15609189.536000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 16846722.797000, 1
experiment3, Bin+, Higgs, MultiTree, 16, 10, 16393901.058000, 1
