experiment1, BF, Higgs, SingleCore, 1, 78091187.638000
experiment1, BF, Higgs, SingleCore, 1, 77805682.711000
experiment1, BF, Higgs, SingleCore, 1, 77801963.811000
experiment1, BF, Higgs, SingleCore, 1, 77778309.806000
experiment1, BF, Higgs, SingleCore, 1, 77787317.140000
experiment1, BF, Higgs, SingleCore, 1, 77797022.561000
experiment1, BF, Higgs, SingleCore, 1, 77764912.589000
experiment1, BF, Higgs, SingleCore, 1, 77796471.999000
experiment1, BF, Higgs, SingleCore, 1, 77803273.800000
experiment1, BF, Higgs, SingleCore, 1, 77807140.600000
experiment1, BF, Higgs, SingleCore, 1, 77807914.109000
experiment1, DF, Higgs, SingleCore, 1, 71737710.921000
experiment1, DF, Higgs, SingleCore, 1, 67159694.745000
experiment1, DF, Higgs, SingleCore, 1, 66892448.597000
experiment1, DF, Higgs, SingleCore, 1, 66855349.790000
experiment1, DF, Higgs, SingleCore, 1, 67201478.546000
experiment1, DF, Higgs, SingleCore, 1, 67101837.231000
experiment1, DF, Higgs, SingleCore, 1, 66898851.641000
experiment1, DF, Higgs, SingleCore, 1, 66811594.565000
experiment1, DF, Higgs, SingleCore, 1, 66926871.673000
experiment1, DF, Higgs, SingleCore, 1, 67270948.422000
experiment1, DF, Higgs, SingleCore, 1, 67484318.075000
experiment1, DF-, Higgs, SingleCore, 1, 55924481.105000
experiment1, DF-, Higgs, SingleCore, 1, 53240401.937000
experiment1, DF-, Higgs, SingleCore, 1, 53147105.068000
experiment1, DF-, Higgs, SingleCore, 1, 53145053.662000
experiment1, DF-, Higgs, SingleCore, 1, 53117626.029000
experiment1, DF-, Higgs, SingleCore, 1, 53104023.837000
experiment1, DF-, Higgs, SingleCore, 1, 53144461.724000
experiment1, DF-, Higgs, SingleCore, 1, 53006751.741000
experiment1, DF-, Higgs, SingleCore, 1, 53123297.104000
experiment1, DF-, Higgs, SingleCore, 1, 53458253.347000
experiment1, DF-, Higgs, SingleCore, 1, 53199858.501000
experiment1, Stat, Higgs, SingleCore, 1, 41141123.925000
experiment1, Stat, Higgs, SingleCore, 1, 41071153.309000
experiment1, Stat, Higgs, SingleCore, 1, 41122581.081000
experiment1, Stat, Higgs, SingleCore, 1, 41111323.010000
experiment1, Stat, Higgs, SingleCore, 1, 41091531.541000
experiment1, Stat, Higgs, SingleCore, 1, 41091631.944000
experiment1, Stat, Higgs, SingleCore, 1, 41065806.781000
experiment1, Stat, Higgs, SingleCore, 1, 41152614.603000
experiment1, Stat, Higgs, SingleCore, 1, 41078709.082000
experiment1, Stat, Higgs, SingleCore, 1, 41088816.830000
experiment1, Stat, Higgs, SingleCore, 1, 41131478.016000
experiment1, Bin, Higgs, SingleCore, 1, 67049176.371000
experiment1, Bin, Higgs, SingleCore, 1, 49100315.741000
experiment1, Bin, Higgs, SingleCore, 1, 48767611.395000
experiment1, Bin, Higgs, SingleCore, 1, 48379904.623000
experiment1, Bin, Higgs, SingleCore, 1, 48343377.994000
experiment1, Bin, Higgs, SingleCore, 1, 48330269.585000
experiment1, Bin, Higgs, SingleCore, 1, 48300692.772000
experiment1, Bin, Higgs, SingleCore, 1, 48343547.263000
experiment1, Bin, Higgs, SingleCore, 1, 48309133.935000
experiment1, Bin, Higgs, SingleCore, 1, 48111724.721000
experiment1, Bin, Higgs, SingleCore, 1, 47903775.100000
experiment1, Bin+, Higgs, SingleCore, 1, 20949484.867000
experiment1, Bin+, Higgs, SingleCore, 1, 20390494.007000
experiment1, Bin+, Higgs, SingleCore, 1, 20004598.051000
experiment1, Bin+, Higgs, SingleCore, 1, 19698178.810000
experiment1, Bin+, Higgs, SingleCore, 1, 19640621.050000
experiment1, Bin+, Higgs, SingleCore, 1, 19292397.415000
experiment1, Bin+, Higgs, SingleCore, 1, 19075844.639000
experiment1, Bin+, Higgs, SingleCore, 1, 19067119.133000
experiment1, Bin+, Higgs, SingleCore, 1, 19173050.239000
experiment1, Bin+, Higgs, SingleCore, 1, 19131716.236000
experiment1, Bin+, Higgs, SingleCore, 1, 18694875.483000
experiment1, BF, MNIST, SingleCore, 1, 15563978.090000
experiment1, BF, MNIST, SingleCore, 1, 14135629.891000
experiment1, BF, MNIST, SingleCore, 1, 14051106.819000
experiment1, BF, MNIST, SingleCore, 1, 13935138.866000
experiment1, BF, MNIST, SingleCore, 1, 14064772.404000
experiment1, BF, MNIST, SingleCore, 1, 13866877.995000
experiment1, BF, MNIST, SingleCore, 1, 13874924.990000
experiment1, BF, MNIST, SingleCore, 1, 13900218.949000
experiment1, BF, MNIST, SingleCore, 1, 13965495.555000
experiment1, BF, MNIST, SingleCore, 1, 13860400.402000
experiment1, DF, MNIST, SingleCore, 1, 14791146.161000
experiment1, DF, MNIST, SingleCore, 1, 15189270.793000
experiment1, DF, MNIST, SingleCore, 1, 15190839.139000
experiment1, DF, MNIST, SingleCore, 1, 14735782.085000
experiment1, DF, MNIST, SingleCore, 1, 14927949.784000
experiment1, DF, MNIST, SingleCore, 1, 15233183.517000
experiment1, DF, MNIST, SingleCore, 1, 15236784.021000
experiment1, DF, MNIST, SingleCore, 1, 15332225.469000
experiment1, DF, MNIST, SingleCore, 1, 14831414.459000
experiment1, DF, MNIST, SingleCore, 1, 15228400.568000
experiment1, DF, MNIST, SingleCore, 1, 15520644.916000
experiment1, DF-, MNIST, SingleCore, 1, 13601396.561000
experiment1, DF-, MNIST, SingleCore, 1, 9514162.328000
experiment1, DF-, MNIST, SingleCore, 1, 9489855.419000
experiment1, DF-, MNIST, SingleCore, 1, 9494818.276000
experiment1, DF-, MNIST, SingleCore, 1, 9458824.634000
experiment1, DF-, MNIST, SingleCore, 1, 9461450.194000
experiment1, DF-, MNIST, SingleCore, 1, 9451436.711000
experiment1, DF-, MNIST, SingleCore, 1, 9445540.934000
experiment1, DF-, MNIST, SingleCore, 1, 9444517.275000
experiment1, DF-, MNIST, SingleCore, 1, 9591764.461000
experiment1, DF-, MNIST, SingleCore, 1, 9638740.766000
experiment1, Stat, MNIST, SingleCore, 1, 8281686.716000
experiment1, Stat, MNIST, SingleCore, 1, 8284380.102000
experiment1, Stat, MNIST, SingleCore, 1, 8288408.294000
experiment1, Stat, MNIST, SingleCore, 1, 8278695.200000
experiment1, Stat, MNIST, SingleCore, 1, 8257307.072000
experiment1, Stat, MNIST, SingleCore, 1, 8340079.154000
experiment1, Stat, MNIST, SingleCore, 1, 8253603.329000
experiment1, Stat, MNIST, SingleCore, 1, 8253672.128000
experiment1, Stat, MNIST, SingleCore, 1, 8271200.251000
experiment1, Stat, MNIST, SingleCore, 1, 8325346.590000
experiment1, Stat, MNIST, SingleCore, 1, 8260592.101000
experiment1, Bin, MNIST, SingleCore, 1, 10411905.609000
experiment1, Bin, MNIST, SingleCore, 1, 10097559.331000
experiment1, Bin, MNIST, SingleCore, 1, 9961164.832000
experiment1, Bin, MNIST, SingleCore, 1, 9878517.627000
experiment1, Bin, MNIST, SingleCore, 1, 9392586.662000
experiment1, Bin, MNIST, SingleCore, 1, 9398579.711000
experiment1, Bin, MNIST, SingleCore, 1, 9769863.706000
experiment1, Bin, MNIST, SingleCore, 1, 9580165.629000
experiment1, Bin, MNIST, SingleCore, 1, 9468035.215000
experiment1, Bin, MNIST, SingleCore, 1, 9498594.264000
experiment1, Bin, MNIST, SingleCore, 1, 9416591.498000
experiment1, Bin+, MNIST, SingleCore, 1, 2660386.408000
experiment1, Bin+, MNIST, SingleCore, 1, 2732979.364000
experiment1, Bin+, MNIST, SingleCore, 1, 2700207.345000
experiment1, Bin+, MNIST, SingleCore, 1, 2617893.324000
experiment1, Bin+, MNIST, SingleCore, 1, 2543020.653000
experiment1, Bin+, MNIST, SingleCore, 1, 2535111.974000
experiment1, Bin+, MNIST, SingleCore, 1, 2527476.419000
experiment1, Bin+, MNIST, SingleCore, 1, 2515027.140000
experiment1, Bin+, MNIST, SingleCore, 1, 2530290.000000
experiment1, Bin+, MNIST, SingleCore, 1, 2517070.828000
experiment1, Bin+, MNIST, SingleCore, 1, 2520656.071000
experiment1, BF, Allstate, SingleCore, 1, 191139303.398000
experiment1, BF, Allstate, SingleCore, 1, 190721297.166000
experiment1, BF, Allstate, SingleCore, 1, 190443043.065000
experiment1, BF, Allstate, SingleCore, 1, 190613692.420000
experiment1, BF, Allstate, SingleCore, 1, 190362147.344000
experiment1, BF, Allstate, SingleCore, 1, 191636665.899000
experiment1, BF, Allstate, SingleCore, 1, 190431579.968000
experiment1, BF, Allstate, SingleCore, 1, 190189284.685000
experiment1, BF, Allstate, SingleCore, 1, 190205168.580000
experiment1, BF, Allstate, SingleCore, 1, 190113980.344000
experiment1, BF, Allstate, SingleCore, 1, 190311327.263000
experiment1, DF, Allstate, SingleCore, 1, 219297962.084000
experiment1, DF, Allstate, SingleCore, 1, 169252928.959000
experiment1, DF, Allstate, SingleCore, 1, 169297723.456000
experiment1, DF, Allstate, SingleCore, 1, 168858046.152000
experiment1, DF, Allstate, SingleCore, 1, 169013373.987000
experiment1, DF, Allstate, SingleCore, 1, 169383906.751000
experiment1, DF, Allstate, SingleCore, 1, 169146272.921000
experiment1, DF, Allstate, SingleCore, 1, 169272317.263000
experiment1, DF, Allstate, SingleCore, 1, 169315902.362000
experiment1, DF, Allstate, SingleCore, 1, 169031040.442000
experiment1, DF, Allstate, SingleCore, 1, 169201258.247000
experiment1, DF-, Allstate, SingleCore, 1, 166579726.681000
experiment1, DF-, Allstate, SingleCore, 1, 159572369.371000
experiment1, DF-, Allstate, SingleCore, 1, 159917953.216000
experiment1, DF-, Allstate, SingleCore, 1, 159529274.403000
experiment1, DF-, Allstate, SingleCore, 1, 159548622.850000
experiment1, DF-, Allstate, SingleCore, 1, 159791008.334000
experiment1, DF-, Allstate, SingleCore, 1, 160104017.986000
experiment1, DF-, Allstate, SingleCore, 1, 159885909.783000
experiment1, DF-, Allstate, SingleCore, 1, 159717265.115000
experiment1, DF-, Allstate, SingleCore, 1, 159780801.593000
experiment1, DF-, Allstate, SingleCore, 1, 159667783.051000
experiment1, Stat, Allstate, SingleCore, 1, 100190843.968000
experiment1, Stat, Allstate, SingleCore, 1, 100317643.029000
experiment1, Stat, Allstate, SingleCore, 1, 100259849.965000
experiment1, Stat, Allstate, SingleCore, 1, 100192434.893000
experiment1, Stat, Allstate, SingleCore, 1, 100166573.660000
experiment1, Stat, Allstate, SingleCore, 1, 100293899.002000
experiment1, Stat, Allstate, SingleCore, 1, 100184088.304000
experiment1, Stat, Allstate, SingleCore, 1, 100131979.599000
experiment1, Stat, Allstate, SingleCore, 1, 100074913.557000
experiment1, Stat, Allstate, SingleCore, 1, 100080010.883000
experiment1, Stat, Allstate, SingleCore, 1, 100297047.485000
experiment1, Bin, Allstate, SingleCore, 1, 102893642.875000
experiment1, Bin, Allstate, SingleCore, 1, 98813456.820000
experiment1, Bin, Allstate, SingleCore, 1, 98718097.623000
experiment1, Bin, Allstate, SingleCore, 1, 98715836.327000
experiment1, Bin, Allstate, SingleCore, 1, 98788780.500000
experiment1, Bin, Allstate, SingleCore, 1, 98716934.681000
experiment1, Bin, Allstate, SingleCore, 1, 98536606.825000
experiment1, Bin, Allstate, SingleCore, 1, 98670477.612000
experiment1, Bin, Allstate, SingleCore, 1, 98668248.469000
experiment1, Bin, Allstate, SingleCore, 1, 98636820.335000
experiment1, Bin, Allstate, SingleCore, 1, 98792293.287000
experiment1, Bin+, Allstate, SingleCore, 1, 52505258.204000
experiment1, Bin+, Allstate, SingleCore, 1, 51158396.570000
experiment1, Bin+, Allstate, SingleCore, 1, 51170582.932000
experiment1, Bin+, Allstate, SingleCore, 1, 51051204.738000
experiment1, Bin+, Allstate, SingleCore, 1, 51002761.178000
experiment1, Bin+, Allstate, SingleCore, 1, 50994876.854000
experiment1, Bin+, Allstate, SingleCore, 1, 50969360.823000
experiment1, Bin+, Allstate, SingleCore, 1, 50997664.401000
experiment1, Bin+, Allstate, SingleCore, 1, 51030180.915000
experiment1, Bin+, Allstate, SingleCore, 1, 50983524.962000
experiment1, Bin+, Allstate, SingleCore, 1, 51008749.696000
