allstate , actual , 0 , 185778051.021000
allstate , actual , 0 , 184044334.743000
allstate , actual , 0 , 184207086.497000
allstate , actual , 0 , 184106440.164000
allstate , actual , 0 , 184326593.179000
allstate , actual , 0 , 183401532.881000
allstate , actual , 0 , 185222213.374000
allstate , actual , 0 , 184430653.909000
allstate , actual , 0 , 185534218.976000
allstate , actual , 0 , 183321462.332000
allstate , actual , 1 , 151455469.966000
allstate , actual , 1 , 157511894.085000
allstate , actual , 1 , 153965210.018000
allstate , actual , 1 , 157805862.839000
allstate , actual , 1 , 154389594.178000
allstate , actual , 1 , 152572234.515000
allstate , actual , 1 , 153560172.675000
allstate , actual , 1 , 153631357.946000
allstate , actual , 1 , 154239699.405000
allstate , actual , 1 , 155993093.112000
allstate , actual , 2 , 155382712.475000
allstate , actual , 2 , 155124750.679000
allstate , actual , 2 , 153483045.643000
allstate , actual , 2 , 150102936.009000
allstate , actual , 2 , 150831414.436000
allstate , actual , 2 , 150553228.163000
allstate , actual , 2 , 155607614.839000
allstate , actual , 2 , 155084735.390000
allstate , actual , 2 , 151757518.134000
allstate , actual , 2 , 151140454.617000
allstate , actual , 4 , 108176683.032000
allstate , actual , 4 , 108354488.307000
allstate , actual , 4 , 108514726.362000
allstate , actual , 4 , 108754665.071000
allstate , actual , 4 , 108725790.404000
allstate , actual , 4 , 109289900.817000
allstate , actual , 4 , 106907854.342000
allstate , actual , 4 , 107324477.944000
allstate , actual , 4 , 108871028.626000
allstate , actual , 4 , 108592391.469000
allstate , actual , 6 , 98274278.045000
allstate , actual , 6 , 97599544.227000
allstate , actual , 6 , 95808793.526000
allstate , actual , 6 , 95811335.669000
allstate , actual , 6 , 97036311.830000
allstate , actual , 6 , 97195396.738000
allstate , actual , 6 , 97167165.272000
allstate , actual , 6 , 97503761.829000
allstate , actual , 6 , 96838527.337000
allstate , actual , 6 , 97572287.002000
