mnist , actual , 0 , 17750589.083000
mnist , actual , 0 , 17144206.448000
mnist , actual , 0 , 17298652.379000
mnist , actual , 0 , 16817869.257000
mnist , actual , 0 , 16849478.617000
mnist , actual , 0 , 17143373.688000
mnist , actual , 0 , 16936374.504000
mnist , actual , 0 , 17027881.954000
mnist , actual , 0 , 17322493.302000
mnist , actual , 0 , 17298750.263000
mnist , actual , 1 , 13606801.510000
mnist , actual , 1 , 13539341.718000
mnist , actual , 1 , 13479280.378000
mnist , actual , 1 , 13538578.590000
mnist , actual , 1 , 13291310.733000
mnist , actual , 1 , 13622061.920000
mnist , actual , 1 , 13263143.204000
mnist , actual , 1 , 13236310.240000
mnist , actual , 1 , 13526899.996000
mnist , actual , 1 , 13552582.515000
mnist , actual , 2 , 11678028.361000
mnist , actual , 2 , 11596637.001000
mnist , actual , 2 , 11648850.438000
mnist , actual , 2 , 11704195.151000
mnist , actual , 2 , 11426339.061000
mnist , actual , 2 , 11695737.578000
mnist , actual , 2 , 11400471.656000
mnist , actual , 2 , 11339470.262000
mnist , actual , 2 , 11393772.321000
mnist , actual , 2 , 11575507.027000
mnist , actual , 4 , 9879010.021000
mnist , actual , 4 , 9860361.895000
mnist , actual , 4 , 10160043.471000
mnist , actual , 4 , 10446810.010000
mnist , actual , 4 , 9897419.285000
mnist , actual , 4 , 10052208.999000
mnist , actual , 4 , 10017759.681000
mnist , actual , 4 , 10051166.549000
mnist , actual , 4 , 10027891.766000
mnist , actual , 4 , 10008900.659000
mnist , actual , 6 , 9516704.405000
mnist , actual , 6 , 9576018.552000
mnist , actual , 6 , 8968161.325000
mnist , actual , 6 , 9029875.201000
mnist , actual , 6 , 9048206.694000
mnist , actual , 6 , 9223796.227000
mnist , actual , 6 , 13565452.222000
mnist , actual , 6 , 9545678.293000
mnist , actual , 6 , 9067153.924000
mnist , actual , 6 , 9491888.840000
